username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,deepseek-v4-flash,19,"I'm not gonna overthink it too much. Most people probably go for 20, so if I ask 19 I'm lined up to grab the bonus if they do. Even if they don't, 19 is still a solid amount, so that's my move.",8691,stop,89.271,true
fucksasuke,deepseek-v4-flash,19,"Most people are going to grab the max, 20. I'd rather be one step ahead and ask for 19 — if they pick 20 I get the bonus and walk away with 39; if they don't, I'm only one shekel off the safe 20. That's a bet I'll take.",13665,stop,141.875,true
threwnawayed,deepseek-v4-flash,20,"I’m not the type to try to outthink someone or chase the bonus — I just want the cup, not the race. I expect the other player might go for the extra 20, but I’d rather take the maximum I can count on without gambling it.",12996,stop,127.476,true
Justin_Bligh,deepseek-v4-flash,19,"I expect the other player to go for the max, 20, so I’ll ask one less to grab the 20 bonus. I’m not going to overthink it into some long guessing chain; that’s just how I see it.",7367,stop,83.273,true
AngelKittichik,deepseek-v4-flash,19,"I tend to be a bit of a goof and not a number-cruncher, but I do try to read what people will do. My guess is the other player goes for the safe, obvious 20, so I'll ask for 19 to be exactly one less and grab the bonus. If they don't pick 20, 19 is still a solid amount.",16640,stop,167.635,true
hobbang819,deepseek-v4-flash,19,"I'm a pragmatic, detail-oriented person who doesn't overcomplicate things. Most people will probably just take the max of 20, so I'll ask for 19 to be exactly one less and get the bonus.",1797,stop,24.896,true
thehacksmith,deepseek-v4-flash,19,"I'm a hands-on, pragmatic guy. I'd guess the other player will just grab 20 because it's the biggest number, so I'll ask 19 — it still gets me a solid payout, and if they pick 20 I get the bonus. I'll take that calculated shot.",4877,stop,54.681,true
thirdangletheory,deepseek-v4-flash,19,"I'm a practical player who reads the situation and expects the other player to grab the obvious maximum, 20. So I'll ask 19: if they pick 20, I get the bonus, and if not, I'm only down one from the safe max.",13422,stop,120.018,true
nowalkietalkies,deepseek-v4-flash,19,"I'm pretty frugal and I don't like leaving money on the table, but I also know a lot of people will just go for the maximum. I expect the other player to ask for 20, so asking 19 makes me exactly one less and gets me the bonus. If they don't pick 20, I still get 19, which is close to the max, so it's a decent safety net. I'm not going to overthink my way down to a lower number.",17553,stop,167.941,true
bezimya74,deepseek-v4-flash,19,"I'm a practical, straightforward guy. I don't like overcomplicating things, and I expect the other player to grab the highest round number, 20. I'll be one less and take the bonus if that happens.",6367,stop,66.558,true
rednaxela26,deepseek-v4-flash,18,"I tend to read the obvious play and get one step ahead of it. Most people will anchor on 20, so the smart/common answer is 19. I expect the other player to go with 19, which means I should ask 18 to be exactly one less and grab the bonus.",8382,stop,87.524,true
EnergizedNuke,deepseek-v4-flash,19,"Most people will probably anchor on the max, 20, to grab a high amount. I’m the type who plans one step ahead, so I’ll take 19 and get the bonus if they go for 20. If they don’t, 19 is still a solid payout.",11989,stop,144.141,true
OUScotty,deepseek-v4-flash,19,"I'm a practical guy who'll take a calculated shot. I expect the other player to grab 20 because it's the obvious max, so I'll ask 19. If they do, I get the bonus; if they don't, I'm only one shekel behind the safe option and I'm not going to keep undercutting down the ladder.",14044,stop,139.087,true
Ares9719,deepseek-v4-flash,19,"I’m not the type to overthink a guessing game, but I do want a shot at the bonus without getting blown out. I think the other guy is most likely to ask for 20, so 19 is the one-under that catches it; if they don’t, I still have a high fallback.",22228,stop,227.729,true
nothing-feels-good,deepseek-v4-flash,19,"I'm a read-the-room, take-a-shot type of thinker. In a first round with no info, I expect the other player to anchor on the high end, probably 20, so I'll ask 19. If they ask 20 I get the bonus; if they don't, I still end up with a high request. It's the right mix of safe and sneaky.",16566,stop,181.529,true
catholicismisascam,deepseek-v4-flash,19,"Most people are gonna grab the max 20 to get the biggest payout, so I’ll sit one below at 19 and collect the bonus if they do. If they don’t, 19 is still a solid amount. I’m not gonna overthink it and turn it into some dumb mind-game spiral.",11727,stop,122.866,true
ca_devotee,deepseek-v4-flash,20,"I'm a pretty practical, low-risk person — I'd rather take the guaranteed 20 than gamble on getting the bonus by guessing one less. If the other person picks 20 too, we both get 20; if they pick lower, I still get 20. That feels like the safest call to me.",16374,stop,144.152,true
Jibzzy,deepseek-v4-flash,19,"I'm a pretty practical gamer, not a big bluffer. I figure the other person will probably ask for the max, 20, because it's the obvious money grab. So I'll ask for 19 and catch the bonus if they do; if they don't, I'm only down one shekel.",9086,stop,87.118,true
kanahl,deepseek-v4-flash,19,"I figure the other guy is gonna ask 20 since it's the biggest number, and if they do then 19 gets me the bonus. Even if I'm wrong, I'm only one shekel worse off than asking 20. That's a chance worth taking.",15898,stop,160.732,true
Camcongab,deepseek-v4-flash,18,"I think most players will try to grab the bonus by asking 19, hoping the other player asks 20. I'll ask one less and catch them if they do; if they don't, I still get 18.",17388,stop,157.604,true
