username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-5.6-luna,19,,0,stop,3.733,true
fucksasuke,openai/gpt-5.6-luna,19,,0,stop,3.620,true
threwnawayed,openai/gpt-5.6-luna,19,,0,stop,3.565,true
Justin_Bligh,openai/gpt-5.6-luna,19,,217,stop,7.247,true
AngelKittichik,openai/gpt-5.6-luna,19,,146,stop,7.275,true
hobbang819,openai/gpt-5.6-luna,19,,465,stop,8.619,true
thehacksmith,openai/gpt-5.6-luna,19,,436,stop,10.530,true
thirdangletheory,openai/gpt-5.6-luna,19,,0,stop,4.365,true
nowalkietalkies,openai/gpt-5.6-luna,19,,0,stop,3.438,true
bezimya74,openai/gpt-5.6-luna,20,,0,stop,3.479,true
rednaxela26,openai/gpt-5.6-luna,19,,231,stop,7.192,true
EnergizedNuke,openai/gpt-5.6-luna,15,,0,stop,3.410,true
OUScotty,openai/gpt-5.6-luna,19,,0,stop,3.638,true
Ares9719,openai/gpt-5.6-luna,19,,129,stop,5.101,true
nothing-feels-good,openai/gpt-5.6-luna,20,,0,stop,4.254,true
catholicismisascam,openai/gpt-5.6-luna,19,,0,stop,3.536,true
ca_devotee,openai/gpt-5.6-luna,19,,250,stop,6.559,true
Jibzzy,openai/gpt-5.6-luna,19,,247,stop,6.202,true
kanahl,openai/gpt-5.6-luna,19,,373,stop,9.886,true
Camcongab,openai/gpt-5.6-luna,19,,303,stop,7.830,true
