username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-5.6-luna,19,,0,stop,3.690,true
fucksasuke,openai/gpt-5.6-luna,19,,0,stop,4.010,true
threwnawayed,openai/gpt-5.6-luna,19,,328,stop,9.551,true
Justin_Bligh,openai/gpt-5.6-luna,19,,436,stop,9.846,true
AngelKittichik,openai/gpt-5.6-luna,19,,378,stop,7.781,true
hobbang819,openai/gpt-5.6-luna,19,,0,stop,3.795,true
thehacksmith,openai/gpt-5.6-luna,19,,0,stop,4.582,true
thirdangletheory,openai/gpt-5.6-luna,19,,148,stop,6.977,true
nowalkietalkies,openai/gpt-5.6-luna,19,,176,stop,7.434,true
bezimya74,openai/gpt-5.6-luna,19,,0,stop,3.551,true
rednaxela26,openai/gpt-5.6-luna,19,,1552,stop,18.047,true
EnergizedNuke,openai/gpt-5.6-luna,19,,0,stop,3.494,true
OUScotty,openai/gpt-5.6-luna,19,,0,stop,3.996,true
Ares9719,openai/gpt-5.6-luna,19,,259,stop,8.293,true
nothing-feels-good,openai/gpt-5.6-luna,19,,220,stop,6.750,true
catholicismisascam,openai/gpt-5.6-luna,19,,124,stop,5.812,true
ca_devotee,openai/gpt-5.6-luna,19,,631,stop,10.041,true
Jibzzy,openai/gpt-5.6-luna,19,,0,stop,3.720,true
kanahl,openai/gpt-5.6-luna,19,,362,stop,8.977,true
Camcongab,openai/gpt-5.6-luna,19,,0,stop,3.827,true
