username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,deepseek-v4-flash,19,,3625,stop,39.570,true
fucksasuke,deepseek-v4-flash,19,,7840,stop,84.245,true
threwnawayed,deepseek-v4-flash,20,,18122,stop,163.814,true
Justin_Bligh,deepseek-v4-flash,19,,4798,stop,53.121,true
AngelKittichik,deepseek-v4-flash,19,,6839,stop,72.795,true
hobbang819,deepseek-v4-flash,19,,24557,stop,248.223,true
thehacksmith,deepseek-v4-flash,19,,14129,stop,137.529,true
thirdangletheory,deepseek-v4-flash,19,,17713,stop,170.512,true
nowalkietalkies,deepseek-v4-flash,19,,11678,stop,111.058,true
bezimya74,deepseek-v4-flash,19,,10127,stop,103.486,true
rednaxela26,deepseek-v4-flash,19,,17960,stop,204.616,true
EnergizedNuke,deepseek-v4-flash,19,,11916,stop,135.645,true
OUScotty,deepseek-v4-flash,19,,14559,stop,160.984,true
Ares9719,deepseek-v4-flash,19,,3097,stop,44.78,true
nothing-feels-good,deepseek-v4-flash,19,,10447,stop,105.383,true
catholicismisascam,deepseek-v4-flash,19,,14283,stop,151.197,true
ca_devotee,deepseek-v4-flash,20,,16364,stop,182.595,true
Jibzzy,deepseek-v4-flash,19,,6161,stop,65.198,true
kanahl,deepseek-v4-flash,19,,12349,stop,131.848,true
Camcongab,deepseek-v4-flash,19,,14918,stop,137.504,true
