username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,5.291,true
fucksasuke,anthropic/claude-sonnet-5,17,,0,stop,5.812,true
threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,4.956,true
Justin_Bligh,anthropic/claude-sonnet-5,17,,0,stop,5.685,true
AngelKittichik,anthropic/claude-sonnet-5,17,,0,stop,5.068,true
hobbang819,anthropic/claude-sonnet-5,17,,0,stop,4.867,true
thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,4.867,true
thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,5.329,true
nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,5.151,true
bezimya74,anthropic/claude-sonnet-5,17,,0,stop,5.130,true
rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,4.978,true
EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,5.737,true
OUScotty,anthropic/claude-sonnet-5,17,,0,stop,5.284,true
Ares9719,anthropic/claude-sonnet-5,17,,0,stop,5.967,true
nothing-feels-good,anthropic/claude-sonnet-5,19,,0,stop,5.100,true
catholicismisascam,anthropic/claude-sonnet-5,19,,0,stop,5.065,true
ca_devotee,anthropic/claude-sonnet-5,17,,0,stop,4.915,true
Jibzzy,anthropic/claude-sonnet-5,17,,0,stop,4.918,true
kanahl,anthropic/claude-sonnet-5,17,,0,stop,5.902,true
Camcongab,anthropic/claude-sonnet-5,19,,0,stop,5.351,true
